2009-11-03 19:00:27 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Applications/MAMP/htdocs/ponto/cake/libs/debugger.php, line 682]
2009-11-03 19:19:42 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:20:21 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:20:21 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:20:22 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:20:22 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:20:22 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:11 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:12 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:12 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:12 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:13 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:13 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:13 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:13 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:13 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:13 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:14 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:21:14 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:34:36 Notice: Notice (8): Undefined property: ColaboradoresController::$Colaborador in [/Applications/MAMP/htdocs/ponto/app/controllers/colaboradores_controller.php, line 6]
2009-11-03 19:54:27 Notice: Notice (8): Undefined property: FuncionariosController::$Usuario in [/Applications/MAMP/htdocs/ponto/app/controllers/funcionarios_controller.php, line 37]
